ID;ISBN-01;ISBN-13;TITLE;ADDED_DATE;DESCRIPTION;PUBLICATION_DATE;AVAILABILITY;AUTHOR_ID;CATEGORY_ID;PUBLISHER_ID;LIBRARY_ID;BOOK_COVER
1;99-3914-450-3;501-99-3914-450-3;Złodziejka książek;2020-06-02;;2013;true;12;8;1;1;
2;99-2621-920-8;790-99-2621-920-8;Mroczna Wieża IV: Czarnoksiżęnik i kryształ;2020-06-03;;2011;true;6;6;3;1;
3;98-5104-185-5;914-98-5104-185-5;Zwiadowcy: Królowie Clonmelu;2020-06-03;;2011;true;20;2;2;1;
4;98-4946-975-9;146-98-4946-975-9;Mroczna Wieża II: Powołanie trójki;2020-06-04;;2016;true;6;6;4;1;
5;98-3686-512-4;352-98-3686-512-4;Buszujący w zbożu;2020-06-04;;2016;false;8;8;1;1;
6;98-1634-811-5;223-98-1634-811-5;Stracie Królów;2020-06-04;;2016;false;17;2;4;1;
7;97-8484-325-4;124-97-8484-325-4;Pani Jeziora;2020-06-04;;2011;false;3;2;1;1;
8;97-8074-571-5;669-97-8074-571-5;Czas pogardy;2020-06-05;;2011;false;3;2;1;1;
9;97-4386-130-4;936-97-4386-130-4;Czarna Kawa;2020-06-06;;2011;false;5;3;3;1;
10;97-2670-263-3;678-97-2670-263-3;Mroczna Wieża I: Roland;2020-06-07;;2016;false;6;6;1;1;
11;96-8857-958-1;379-96-8857-958-1;Harry Potter i Insygnia Śmierci;2020-06-09;;2016;true;1;2;4;1;
12;96-7831-672-6;808-96-7831-672-6;Przygody Sherlocka Holmesa;2020-06-13;;2016;false;2;1;1;1;
13;96-1658-973-5;980-96-1658-973-5;Hobbit, czyli tam i z powrotem;2020-06-14;;2016;false;4;2;2;1;
14;95-9571-662-3;187-95-9571-662-3;Zwiadowcy: Ziemia skuta lodem;2020-06-15;;2016;true;20;2;3;1;
15;95-8065-145-1;482-95-8065-145-1;Zwiadowcy: Bitwa o Skandię;2020-06-16;;2016;true;20;2;2;1;
16;95-6935-399-9;212-95-6935-399-9;Pan Tadeusz, czyli ostatni Zajazd na Litwie;2020-06-17;;2011;true;18;12;1;1;
17;95-2286-463-4;349-95-2286-463-4;Folwark zwierzęcy;2020-06-17;;2011;false;13;8;3;1;
18;94-9090-480-1;906-94-9090-480-1;Jego ostatni ukłon;2020-06-18;;2011;false;2;1;4;1;
19;94-8549-365-1;733-94-8549-365-1;Zwiadowcy: Zaginiony książę;2020-06-18;;2011;true;20;2;4;1;
20;94-7907-973-8;326-94-7907-973-8;Harry Potter i Czara Ognia;2020-06-20;;2011;true;1;2;2;1;
